Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
615,31,6,7,17539
616,212,92,13,227272
617,156,65,13,164907
618,18,5,7,15683
619,198,121,19,296250
620,76,21,9,55766
621,89,34,12,87989
622,103,34,11,86267
623,30,12,5,33265
624,150,82,16,208672
625,10,2,4,5683
626,42,12,8,33612
627,159,177,22,424103
628,227,227,21,528860
629,57,19,11,53554
630,179,65,12,165307
631,186,219,20,522538
632,153,73,13,181901
633,1,0,1,65
634,187,215,21,492645
635,17,3,6,8940
636,130,44,11,114583
637,99,36,7,96454
638,11,1,4,4336
639,26,5,7,12733
640,27,6,7,20696
641,34,9,10,24909
642,177,144,19,353724
643,21,3,6,8736
644,221,98,14,237485
645,102,88,16,222467
646,199,93,15,228589
647,39,13,8,32889
648,20,4,6,12295
649,148,59,11,149024
650,150,79,17,203695
651,11,1,4,4402
652,51,43,18,104232
653,166,65,10,164838
654,128,77,16,191031
655,158,56,12,146232
656,126,75,19,194679
657,232,195,21,462106
658,33,7,8,18141
659,206,162,23,381041
660,141,57,10,150346
661,125,57,12,139815
662,190,94,14,237711
663,107,116,16,272669
664,146,91,16,231479
665,105,39,11,99610
666,160,287,29,661881
667,122,58,13,145452
668,156,67,14,168132
669,28,6,7,18801
670,115,54,10,139832
671,77,24,10,67516
672,130,366,30,784737
673,117,148,23,367046
674,180,97,13,242085
675,191,104,17,258200
676,244,194,18,467134
677,18,2,5,6180
678,161,67,13,174147
679,190,107,16,270399
680,239,106,14,257342
681,1,0,1,65
682,25,4,5,11486
683,168,188,24,453790
684,231,169,17,402888
685,237,135,16,332397
686,34,6,7,16698
687,44,12,8,31588
688,31,8,8,24489
689,103,55,14,141725
690,110,39,14,104289
691,58,22,13,60752
692,213,135,16,321947
693,196,197,26,466144
694,204,386,30,860258
695,196,211,24,505942
696,223,98,13,238837
697,55,32,17,84614
698,25,7,6,20075
699,61,31,14,81334
700,167,91,14,228661
701,191,189,28,459366
702,32,17,11,46223
703,126,40,11,101941
704,87,121,28,284235
705,50,25,9,59378
706,204,112,15,270175
707,1,0,1,65
708,1,0,1,65
709,54,13,8,34306
710,114,190,28,451160
711,62,19,8,49885
712,63,17,8,47781
713,112,40,10,104845
714,1,0,1,65
715,51,15,10,40625
716,1,0,1,65
717,226,99,13,251081
718,173,93,16,231569
719,151,101,17,256823
720,25,5,8,14400
721,24,4,7,13120
722,169,241,23,536027
723,135,99,22,257127
724,188,67,11,168838
725,146,61,13,160337
726,148,92,20,229477
727,154,271,25,576835
728,1,0,1,65
729,27,6,7,19684
730,119,44,11,113484
731,217,91,13,230671
732,226,219,22,530797
733,51,20,8,53357
734,100,37,14,95191
735,123,95,18,242946
736,208,83,11,207934
737,27,7,6,18493
738,91,56,14,139656
739,235,103,13,257021
740,153,94,15,233381
741,1,0,1,65
742,1,0,1,65
743,225,138,18,330613
744,98,34,13,91933
745,139,56,10,140816
746,134,183,19,404946
747,114,75,14,188912
748,146,104,21,257396
749,209,124,16,311311
750,44,11,9,32056
751,235,121,14,291742
752,64,20,13,53063
753,15,2,7,7529
754,46,17,10,49467
755,72,45,18,119216
756,228,115,15,265104
757,20,6,4,14313
758,32,12,9,33011
759,211,82,13,210599
760,176,222,24,530300
761,97,28,7,75855
762,170,128,17,313803
763,139,50,14,130880
764,152,142,23,347959
765,150,58,14,152358
766,79,100,16,225819
767,73,22,9,57989
768,23,8,8,22769
769,151,54,11,132434
770,86,30,7,79333
771,44,10,8,27844
772,119,91,23,227368
773,205,190,18,444743
774,43,21,13,56063
775,185,159,19,386652
776,149,152,22,353791
777,222,391,30,864633
778,215,301,27,692443
779,72,53,16,141908
780,196,91,13,228784
781,195,302,30,664174
782,193,117,17,296754
783,48,13,9,35192
784,91,30,7,82484
785,136,95,21,240522
786,1,0,1,65
787,103,89,16,220295
788,69,19,10,54364
789,52,14,11,38587
790,228,124,13,300386
791,29,8,9,21482
792,21,4,6,11867
793,198,124,16,304982
794,234,382,28,856837
795,145,85,14,216394
796,117,49,14,128677
797,130,68,12,172322
